alpha,g,omega,L,neleca,nelecb,Nmax,D,energy,residual,convention
0,0,0.5,4,1,0,24,1562500,-1.999999999999997,4.191000011072726e-15,paper_uncentered
0.2,0.3162277660168379,0.5,4,1,0,24,1562500,-2.076040019564708,5.899529441236324e-07,paper_uncentered
0.4,0.4472135954999579,0.5,4,1,0,24,1562500,-2.153125618868521,6.799175231497847e-07,paper_uncentered
0.6,0.5477225575051662,0.5,4,1,0,24,1562500,-2.231390370817144,8.189518743599078e-07,paper_uncentered
0.8,0.6324555320336759,0.5,4,1,0,24,1562500,-2.310999085705871,5.464577957396531e-07,paper_uncentered
1,0.7071067811865476,0.5,4,1,0,24,1562500,-2.392158815140514,8.916678332624364e-07,paper_uncentered
1.2,0.7745966692414834,0.5,4,1,0,24,1562500,-2.475135053576627,7.217511506954693e-07,paper_uncentered
1.4,0.8366600265340756,0.5,4,1,0,24,1562500,-2.56027611922113,7.289427045807809e-07,paper_uncentered
1.6,0.8944271909999159,0.5,4,1,0,24,1562500,-2.64805050082761,9.023680367139054e-07,paper_uncentered
1.8,0.9486832980505138,0.5,4,1,0,24,1562500,-2.73910445097245,7.921702758619129e-07,paper_uncentered
2,1,0.5,4,1,0,24,1562500,-2.834349023519531,9.868545188175693e-07,paper_uncentered
2.2,1.048808848170152,0.5,4,1,0,24,1562500,-2.935080429838513,9.974957907373794e-07,paper_uncentered
2.4,1.095445115010332,0.5,4,1,0,24,1562500,-3.043101753312934,7.851662056981227e-07,paper_uncentered
2.6,1.140175425099138,0.5,4,1,0,24,1562500,-3.160698224054993,9.455029783608481e-07,paper_uncentered
2.8,1.183215956619923,0.5,4,1,0,24,1562500,-3.290139833697961,7.935008639570211e-07,paper_uncentered
3,1.224744871391589,0.5,4,1,0,24,1562500,-3.432571467873098,9.813611771606224e-07,paper_uncentered
