alpha,g,omega,L,t,nrandom,random_scale,seed,gtol,max_cycle,coupling_convention,cs_branch,lf_ansatz,cs_energy,cs_mp2_correction,cs_mp2_energy,cs_n0,cs_n1,cs_n2,cs_n3,cs_density_imbalance,cs_niter,cs_density_residual,lf_energy,lf_n0,lf_n1,lf_n2,lf_n3,lf_density_imbalance,lf_nstart,lf_nconverged,lf_shift_residual
0,0,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,local_diagonal,-1.999999999999999,0,-1.999999999999999,0.2500000000000001,0.2499999999999997,0.25,0.2499999999999998,4.440892098500626e-16,1,3.33066907387547e-16,-2,0.2500000000000003,0.2499999999999997,0.2500000000000002,0.2500000000000001,6.661338147750939e-16,9,9,1.183532302776031e-09
0.2,0.3162277660168379,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,local_diagonal,-2.049999999999999,-0.02555555555555554,-2.075555555555555,0.2500000000000002,0.2499999999999998,0.2499999999999998,0.2499999999999999,4.440892098500626e-16,1,2.220446049250313e-16,-2.073785023844652,0.2499999998956841,0.2500000001024162,0.2500000000903786,0.2499999999115221,2.067320759024938e-10,9,8,8.912835469665481e-10
0.4,0.4472135954999579,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,local_diagonal,-2.099999999999999,-0.05111111111111108,-2.15111111111111,0.2500000000000001,0.2499999999999997,0.2499999999999999,0.2499999999999998,4.440892098500626e-16,1,3.33066907387547e-16,-2.147777366476078,0.2500000000008796,0.2499999999850051,0.2500000000083495,0.2500000000057656,2.334449300533947e-11,9,9,1.791081172264342e-10
0.6,0.5477225575051662,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,local_diagonal,-2.149999999999999,-0.07666666666666666,-2.226666666666666,0.2500000000000002,0.2499999999999998,0.2499999999999998,0.2499999999999999,4.440892098500626e-16,1,2.220446049250313e-16,-2.221986113987633,0.2500000001398109,0.2500000006762984,0.2499999996271353,0.249999999556756,1.119542347716163e-09,9,8,4.85904558256145e-09
0.8,0.6324555320336759,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,local_diagonal,-2.2,-0.1022222222222222,-2.302222222222222,0.2500000000000002,0.2499999999999998,0.2499999999999998,0.25,3.885780586188048e-16,1,2.220446049250313e-16,-2.296421162031637,0.2499999990851874,0.2500000010466213,0.2499999999661034,0.2499999999020884,1.961433959696279e-09,9,8,6.941882790822973e-09
1,0.7071067811865476,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,local_diagonal,-2.250000000000001,-0.1277777777777778,-2.377777777777779,0.2500000000000002,0.2499999999999998,0.25,0.2500000000000001,3.885780586188048e-16,1,2.220446049250313e-16,-2.371093330413987,0.2500000001232704,0.2499999994792819,0.2500000000128184,0.2500000003846298,9.053478522424996e-10,9,9,2.250008179771612e-09
1.2,0.7745966692414834,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,local_diagonal,-2.300000000000001,-0.1533333333333332,-2.453333333333334,0.2500000000000002,0.2499999999999998,0.25,0.2500000000000001,3.885780586188048e-16,1,2.220446049250313e-16,-2.44601450072068,0.250000000387014,0.2499999993298896,0.2499999999928625,0.2500000002902337,1.057124388026409e-09,9,8,1.43537376429137e-09
1.4,0.8366600265340756,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,local_diagonal,-2.350000000000001,-0.1788888888888888,-2.528888888888889,0.2500000000000002,0.2499999999999998,0.25,0.2500000000000001,3.885780586188048e-16,1,2.220446049250313e-16,-2.521197783149666,0.249999999847868,0.249999999768147,0.2500000000053206,0.2500000003786641,6.105170813341942e-10,9,9,5.893854293503864e-10
1.6,0.8944271909999159,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,local_diagonal,-2.4,-0.2044444444444444,-2.604444444444445,0.2500000000000002,0.2499999999999998,0.25,0.2500000000000001,3.885780586188048e-16,1,2.220446049250313e-16,-2.596657720843854,0.2499999999504167,0.2499999995659284,0.2500000003116268,0.2500000001720282,7.456983919240656e-10,9,9,1.999621024317833e-09
1.8,0.9486832980505138,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,local_diagonal,-2.450000000000001,-0.2300000000000001,-2.680000000000001,0.2500000000000002,0.2499999999999998,0.25,0.2500000000000001,3.885780586188048e-16,1,2.220446049250313e-16,-2.672410543056017,0.2500000003468843,0.250000000216597,0.2499999987218433,0.2500000007146757,1.992832399100308e-09,9,9,3.646734303419663e-09
2,1,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,local_diagonal,-2.500000000000001,-0.2555555555555556,-2.755555555555556,0.2500000000000002,0.2499999999999998,0.25,0.2500000000000001,3.885780586188048e-16,1,2.220446049250313e-16,-2.748474482905634,0.2499999994319025,0.2500000002679514,0.2500000007967814,0.2499999995033651,1.364878876586317e-09,9,9,9.225065711326863e-10
2.2,1.048808848170152,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,local_diagonal,-2.550000000000001,-0.2811111111111112,-2.831111111111112,0.2500000000000002,0.2499999999999998,0.25,0.2500000000000001,3.885780586188048e-16,1,2.220446049250313e-16,-2.82487018210281,0.2500000005528173,0.2500000003343444,0.2499999967378093,0.2500000023750293,5.637220024112821e-09,9,9,4.736135150729126e-09
2.4,1.095445115010332,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,local_diagonal,-2.6,-0.3066666666666668,-2.906666666666667,0.2500000000000002,0.2499999999999997,0.2499999999999999,0.2500000000000001,5.551115123125783e-16,1,3.33066907387547e-16,-2.924947166702872,0.03106429885730323,0.09933737571962184,0.7702609503323447,0.09933737509073064,0.7391966514750414,9,7,3.550853312772606e-09
2.6,1.140175425099138,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,local_diagonal,-2.650000000000001,-0.3322222222222223,-2.982222222222223,0.2500000000000002,0.2499999999999998,0.25,0.2500000000000001,3.885780586188048e-16,1,2.220446049250313e-16,-3.067734194798076,0.07110722106050288,0.8411043638175334,0.07110722137054851,0.01668119375141542,0.824423170066118,9,9,2.032603613200124e-09
2.8,1.183215956619923,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,local_diagonal,-2.699999999999999,-0.3577777777777777,-3.057777777777777,0.2500000000000002,0.2499999999999998,0.2499999999999998,0.25,3.885780586188048e-16,1,2.220446049250313e-16,-3.223532131072405,0.878934330937668,0.05531994519277402,0.01042577849595785,0.05531994537360019,0.8685085524417102,9,8,2.264512313776557e-09
3,1.224744871391589,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,local_diagonal,-2.75,-0.3833333333333331,-3.133333333333333,0.2500000000000004,0.2499999999999998,0.2499999999999997,0.25,7.216449660063518e-16,1,4.440892098500626e-16,-3.38776338685271,0.04484479295754162,0.9032927757563789,0.04484479293072524,0.007017638355354101,0.8962751374010248,9,9,3.800323389313576e-09
