alpha,g,omega,L,t,nrandom,random_scale,seed,gtol,max_cycle,coupling_convention,cs_branch,lf_ansatz,cs_energy,cs_mp2_correction,cs_mp2_energy,cs_n0,cs_n1,cs_n2,cs_n3,cs_density_imbalance,cs_niter,cs_density_residual,lf_energy,lf_n0,lf_n1,lf_n2,lf_n3,lf_density_imbalance,lf_nstart,lf_nconverged,lf_shift_residual,lf_mp2_max_total,lf_mp2_nconfig,lf_mp2_pure_correction,lf_mp2_single_correction,lf_mp2_correction,lf_mp2_energy
0,0,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,full_density_diagonal,-1.999999999999999,0,-1.999999999999999,0.2500000000000001,0.2499999999999997,0.25,0.2499999999999998,4.440892098500626e-16,1,3.33066907387547e-16,-2,0.2500000000000001,0.2499999999999997,0.25,0.2499999999999998,4.440892098500626e-16,13,13,0,10,1000,0,0,0,-2
0.2,0.3162277660168379,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,full_density_diagonal,-2.049999999999999,-0.02555555555555554,-2.075555555555555,0.2500000000000002,0.2499999999999998,0.2499999999999998,0.2499999999999999,4.440892098500626e-16,1,2.220446049250313e-16,-2.075666690531949,0.2500000000531378,0.2499999999600214,0.2499999999868351,0.2500000000000058,9.31164034767562e-11,13,10,7.740936225353323e-10,10,1000,-0.0003088759060189708,-5.460914868439986e-05,-0.0003634850547033707,-2.076030175586652
0.4,0.4472135954999579,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,full_density_diagonal,-2.099999999999999,-0.05111111111111108,-2.15111111111111,0.2500000000000001,0.2499999999999997,0.2499999999999999,0.2499999999999998,4.440892098500626e-16,1,3.33066907387547e-16,-2.151562037236446,0.2499999999465325,0.2500000000085917,0.2499999999198352,0.2500000001250408,2.052055747547854e-10,13,13,1.578162739379607e-09,10,1000,-0.001252697945115767,-0.0002266939874508039,-0.001479391932566571,-2.153041429169013
0.6,0.5477225575051662,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,full_density_diagonal,-2.149999999999999,-0.07666666666666666,-2.226666666666666,0.2500000000000002,0.2499999999999998,0.2499999999999998,0.2499999999999999,4.440892098500626e-16,1,2.220446049250313e-16,-2.227696244863536,0.2500000000009055,0.2500000000065519,0.2500000000031639,0.2499999999893786,1.717331832296054e-11,13,13,4.628869509915035e-11,10,1000,-0.002859179958340716,-0.0005299394253744921,-0.003389119383715208,-2.231085364247251
0.8,0.6324555320336759,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,full_density_diagonal,-2.2,-0.1022222222222222,-2.302222222222222,0.2500000000000002,0.2499999999999998,0.2499999999999998,0.25,3.885780586188048e-16,1,2.220446049250313e-16,-2.304080443938871,0.2499999996409494,0.2499999998331774,0.2500000005344851,0.2499999999913878,8.935356898831515e-10,13,12,3.153078576012547e-09,10,1000,-0.00515892600660689,-0.0009800258420946787,-0.006138951848701568,-2.310219395787573
1,0.7071067811865476,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,full_density_diagonal,-2.250000000000001,-0.1277777777777778,-2.377777777777779,0.2500000000000002,0.2499999999999998,0.25,0.2500000000000001,3.885780586188048e-16,1,2.220446049250313e-16,-2.380726824272466,0.2499999998881425,0.2499999999415685,0.2500000001809554,0.2499999999893332,2.928128295387467e-10,13,13,5.144057402262092e-10,10,1000,-0.008185915432411359,-0.001595027494652178,-0.009780942927063536,-2.390507767199529
1.2,0.7745966692414834,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,full_density_diagonal,-2.300000000000001,-0.1533333333333332,-2.453333333333334,0.2500000000000002,0.2499999999999998,0.25,0.2500000000000001,3.885780586188048e-16,1,2.220446049250313e-16,-2.457648795829296,0.2499999991442122,0.2500000001903642,0.2500000010625131,0.2499999996029108,1.918300851500021e-09,13,13,2.409491606236713e-09,10,1000,-0.01197810326746707,-0.002395916028712975,-0.01437401929618004,-2.472022815125476
1.4,0.8366600265340756,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,full_density_diagonal,-2.350000000000001,-0.1788888888888888,-2.528888888888889,0.2500000000000002,0.2499999999999998,0.25,0.2500000000000001,3.885780586188048e-16,1,2.220446049250313e-16,-2.534861184448113,0.2499999998540931,0.2499999999948316,0.2500000001521464,0.249999999998929,2.980533042595823e-10,13,13,2.007249921831544e-10,10,1000,-0.01657816980716967,-0.00340720434333159,-0.01998537415050126,-2.554846558598614
1.6,0.8944271909999159,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,full_density_diagonal,-2.4,-0.2044444444444444,-2.604444444444445,0.2500000000000002,0.2499999999999998,0.25,0.2500000000000001,3.885780586188048e-16,1,2.220446049250313e-16,-2.612380472525536,0.2500000001748539,0.2499999993126873,0.2500000000447605,0.250000000467699,1.155011697395736e-09,13,13,9.319348626135593e-10,10,1000,-0.02203447778828956,-0.004657782134512408,-0.02669225992280197,-2.639072732448338
1.8,0.9486832980505138,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,full_density_diagonal,-2.450000000000001,-0.2300000000000001,-2.680000000000001,0.2500000000000002,0.2499999999999998,0.25,0.2500000000000001,3.885780586188048e-16,1,2.220446049250313e-16,-2.690225098570635,0.2500000000598532,0.2499999998935658,0.2500000001031429,0.2499999999434386,2.095771334253982e-10,13,11,3.116322755403189e-10,10,1000,-0.02840229618463755,-0.006182014660487051,-0.0345843108451246,-2.72480940941576
2,1,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,full_density_diagonal,-2.500000000000001,-0.2555555555555556,-2.755555555555556,0.2500000000000002,0.2499999999999998,0.25,0.2500000000000001,3.885780586188048e-16,1,2.220446049250313e-16,-2.768415835107769,0.2500000000943579,0.2500000009698737,0.2499999992801261,0.2499999996556424,1.689747675115427e-09,13,12,1.717531894485091e-09,10,1000,-0.03574540801762779,-0.008021214418250136,-0.04376662243587792,-2.812182457543646
2.2,1.048808848170152,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,full_density_diagonal,-2.550000000000001,-0.2811111111111112,-2.831111111111112,0.2500000000000002,0.2499999999999998,0.25,0.2500000000000001,3.885780586188048e-16,1,2.220446049250313e-16,-2.846976272802588,0.2500000000059825,0.2500000000052842,0.2499999999789143,0.2500000000098191,3.090483424728063e-11,13,13,4.395550590174935e-11,10,1000,-0.04413825579740282,-0.01022565031218926,-0.05436390610959208,-2.90134017891218
2.4,1.095445115010332,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,full_density_diagonal,-2.6,-0.3066666666666668,-2.906666666666667,0.2500000000000002,0.2499999999999997,0.2499999999999999,0.2500000000000001,5.551115123125783e-16,1,3.33066907387547e-16,-2.933870018704931,0.04401367263332105,0.1090133366433608,0.737959654055751,0.1090133366675672,0.69394598142243,13,12,2.112129554587838e-09,10,1000,-0.0180467175972109,-0.005832417068941474,-0.02387913466615238,-2.957749153371084
2.6,1.140175425099138,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,full_density_diagonal,-2.650000000000001,-0.3322222222222223,-2.982222222222223,0.2500000000000002,0.2499999999999998,0.25,0.2500000000000001,3.885780586188048e-16,1,2.220446049250313e-16,-3.072917461126869,0.02150964518471071,0.07433057782141164,0.8298292000474301,0.07433057694644828,0.8083195548627194,13,12,7.240409161113348e-09,10,1000,-0.008429643537961365,-0.003908073038327765,-0.01233771657628913,-3.085255177703158
2.8,1.183215956619923,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,uniform_symmetric,full_density_diagonal,-2.699999999999999,-0.3577777777777777,-3.057777777777777,0.2500000000000002,0.2499999999999998,0.2499999999999998,0.25,3.885780586188048e-16,1,2.220446049250313e-16,-3.226922548557187,0.05692854083875661,0.8731913646540295,0.05692854081202306,0.01295155369519099,0.8602398109588385,13,13,2.085282262836996e-09,10,1000,-0.004851669988215195,-0.002824378283021545,-0.00767604827123674,-3.234598596828424
