alpha,g,omega,L,t,nrandom,random_scale,seed,gtol,max_cycle,coupling_convention,frame_recipe,lf_energy,cs_start_energy,lf_nconverged,mr_orbit_energy,mr_energy,mr_orbit_rank,mr_rank,mr_n0,mr_n1,mr_n2,mr_n3,mr_density_imbalance,mr_norm_error
0,0,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,best_full_lf_orbit_plus_cs_start_orbit,-2,-2,13,-1.999999999999999,-2,4,4,0.2500000000000002,0.2500000000000002,0.2500000000000001,0.2499999999999999,2.775557561562891e-16,4.440892098500626e-16
0.2,0.3162277660168379,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,best_full_lf_orbit_plus_cs_start_orbit,-2.075666690531949,-2.075666690531949,10,-2.075666690531949,-2.075666690531948,4,4,0.2499999999999997,0.2499999999999999,0.2500000000000002,0.2499999999999999,4.996003610813204e-16,2.220446049250313e-16
0.4,0.4472135954999579,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,best_full_lf_orbit_plus_cs_start_orbit,-2.151562037236446,-2.151562037236445,13,-2.151562037236445,-2.151562037236446,4,4,0.2499999999999999,0.25,0.25,0.25,1.110223024625157e-16,1.110223024625157e-16
0.6,0.5477225575051662,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,best_full_lf_orbit_plus_cs_start_orbit,-2.227696244863536,-2.227696244863536,13,-2.227696244863536,-2.227696244863536,4,4,0.2500000000000001,0.2500000000000002,0.2500000000000001,0.25,2.220446049250313e-16,4.440892098500626e-16
0.8,0.6324555320336759,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,best_full_lf_orbit_plus_cs_start_orbit,-2.304080443938871,-2.30408044393887,12,-2.30408044393887,-2.30408044393887,4,4,0.2499999999999999,0.2500000000000001,0.2500000000000001,0.25,2.220446049250313e-16,0
1,0.7071067811865476,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,best_full_lf_orbit_plus_cs_start_orbit,-2.380726824272466,-2.380726824272465,13,-2.380726824272466,-2.380726824272466,4,4,0.25,0.2500000000000002,0.2500000000000002,0.2499999999999999,2.775557561562891e-16,4.440892098500626e-16
1.2,0.7745966692414834,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,best_full_lf_orbit_plus_cs_start_orbit,-2.457648795829296,-2.457648795829295,13,-2.457648795829296,-2.457648795829295,4,4,0.25,0.2499999999999999,0.2499999999999999,0.2500000000000001,1.942890293094024e-16,1.110223024625157e-16
1.4,0.8366600265340756,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,best_full_lf_orbit_plus_cs_start_orbit,-2.534861184448113,-2.534861184448112,13,-2.534861184448112,-2.534861184448112,4,4,0.2499999999999998,0.2500000000000001,0.2500000000000002,0.2499999999999999,4.440892098500626e-16,0
1.6,0.8944271909999159,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,best_full_lf_orbit_plus_cs_start_orbit,-2.612380472525536,-2.612380472525535,13,-2.612380472525535,-2.612380472525534,4,4,0.25,0.2499999999999999,0.2499999999999999,0.2499999999999998,1.665334536937735e-16,4.440892098500626e-16
1.8,0.9486832980505138,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,best_full_lf_orbit_plus_cs_start_orbit,-2.690225098570635,-2.690225098570635,11,-2.690225098570635,-2.690225098570635,4,4,0.2499999999999999,0.2500000000000001,0.2500000000000001,0.2499999999999999,1.665334536937735e-16,0
2,1,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,best_full_lf_orbit_plus_cs_start_orbit,-2.768415835107769,-2.768415835107767,12,-2.768415835107768,-2.768415835107768,4,4,0.2499999999999995,0.2499999999999998,0.2500000000000006,0.2500000000000001,1.054711873393899e-15,0
2.2,1.048808848170152,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,best_full_lf_orbit_plus_cs_start_orbit,-2.846976272802588,-2.846976272802588,13,-2.846976272802588,-2.846976272802589,4,4,0.2500000000000002,0.2500000000000006,0.25,0.2499999999999999,6.661338147750939e-16,6.661338147750939e-16
2.4,1.095445115010332,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,best_full_lf_orbit_plus_cs_start_orbit,-2.933870018704931,-2.925933451690892,12,-3.036677863378092,-3.038160786280248,16,20,0.2500000000000023,0.2500000000000011,0.2500000000000063,0.2499999999999899,1.637578961322106e-14,5.551115123125783e-16
2.6,1.140175425099138,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,best_full_lf_orbit_plus_cs_start_orbit,-3.072917461126869,-3.00531870117375,12,-3.140038498820374,-3.156258256101234,16,20,0.2500000000000109,0.2499999999999927,0.2499999999999995,0.2499999999999979,1.820765760385257e-14,8.881784197001252e-16
2.8,1.183215956619923,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,best_full_lf_orbit_plus_cs_start_orbit,-3.226922548557187,-3.085168784893561,13,-3.266724248136172,-3.285202260329913,16,20,0.2499999999999987,0.2500000000000155,0.2499999999999806,0.2500000000000042,3.488875854884554e-14,1.110223024625157e-15
3,1.224744871391589,0.5,4,-1,8,0.5,0,1e-08,500,paper_uncentered,best_full_lf_orbit_plus_cs_start_orbit,-3.390114000228852,-3.165527506218491,13,-3.413606134705648,-3.427752657645423,16,20,0.2499999999999764,0.2500000000000064,0.249999999999997,0.2500000000000222,4.585221091701897e-14,1.998401444325282e-15
