alpha,g,omega,L,nelec,U,Nmax,D,energy,residual,delta_E,residual_ok,cutoff_converged,convention
0.0,0.0,0.5,4,"(2, 2)",4.0,0,36,-2.102748483462075,6.036896589091796e-15,,True,True,paper_uncentered_probe
2.0,1.0,0.5,4,"(2, 2)",4.0,2,2916,-6.994600630586689,7.346618750659812e-09,,True,False,paper_uncentered_probe
2.0,1.0,0.5,4,"(2, 2)",4.0,4,22500,-8.869626289310785,8.17096640198833e-09,1.8750256587240965,True,False,paper_uncentered_probe
2.0,1.0,0.5,4,"(2, 2)",4.0,6,86436,-9.704443273583363,7.71739023170796e-09,0.8348169842725781,True,False,paper_uncentered_probe
2.0,1.0,0.5,4,"(2, 2)",4.0,8,236196,-10.052022467814595,8.467222408434584e-09,0.3475791942312316,True,False,paper_uncentered_probe
4.0,1.4142135623730951,0.5,4,"(2, 2)",4.0,2,2916,-9.776164316907417,6.546090460883438e-09,,True,False,paper_uncentered_probe
4.0,1.4142135623730951,0.5,4,"(2, 2)",4.0,4,22500,-13.361329344270978,7.390091790389788e-09,3.5851650273635602,True,False,paper_uncentered_probe
4.0,1.4142135623730951,0.5,4,"(2, 2)",4.0,6,86436,-15.44271397613082,8.604179766031322e-09,2.0813846318598426,True,False,paper_uncentered_probe
4.0,1.4142135623730951,0.5,4,"(2, 2)",4.0,8,236196,-16.710397361035525,8.977693670604828e-09,1.2676833849047053,True,False,paper_uncentered_probe
0.0,0.0,5.0,4,"(2, 2)",4.0,0,36,-2.102748483462075,6.036896589091796e-15,,True,True,paper_uncentered_probe
2.0,3.1622776601683795,5.0,4,"(2, 2)",4.0,2,2916,-10.240833550108624,7.164754280850467e-09,,True,False,paper_uncentered_probe
2.0,3.1622776601683795,5.0,4,"(2, 2)",4.0,4,22500,-11.000654352754566,9.754016363719358e-09,0.7598208026459421,True,False,paper_uncentered_probe
2.0,3.1622776601683795,5.0,4,"(2, 2)",4.0,6,86436,-11.08981150043104,9.039884136807198e-09,0.08915714767647387,True,False,paper_uncentered_probe
2.0,3.1622776601683795,5.0,4,"(2, 2)",4.0,8,236196,-11.096353088738773,8.324321776084173e-09,0.006541588307733548,True,False,paper_uncentered_probe
4.0,4.47213595499958,5.0,4,"(2, 2)",4.0,2,2916,-17.11025373210156,8.325904562760908e-09,,True,False,paper_uncentered_probe
4.0,4.47213595499958,5.0,4,"(2, 2)",4.0,4,22500,-21.872333203531817,9.1547937597389e-09,4.762079471430255,True,False,paper_uncentered_probe
4.0,4.47213595499958,5.0,4,"(2, 2)",4.0,6,86436,-24.060765278857165,9.843238929569577e-09,2.1884320753253483,True,False,paper_uncentered_probe
4.0,4.47213595499958,5.0,4,"(2, 2)",4.0,8,236196,-24.75931905109368,9.560769309757353e-09,0.6985537722365152,True,False,paper_uncentered_probe
